"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 26 18:53:33 IDT 2022","Wed Oct 26 18:53:37 IDT 2022","3817","Default Suite","untitled","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_SearchUsers","Test07- Search Users","This Test Searched Users in a table using DOT"
"passed","Mon Dec 26 14:31:50 IST 2022","Mon Dec 26 14:31:50 IST 2022","326","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test05_verifyProgressSteps","Test05- Verify Progress Steps","This Test login verify and default  progress steps"
"passed","Fri Nov 18 11:09:05 IST 2022","Fri Nov 18 11:09:07 IST 2022","1943","Default Suite","untitled","Helper.TempAPI","Helper.TempAPI","testingAPI","testingAPI",""
"passed","Sun Dec 04 00:30:02 IST 2022","Sun Dec 04 00:30:03 IST 2022","746","Default Suite","untitled","sanity.TodoListElectron","sanity.TodoListElectron","test01_AddEndVerifyNewTask","Test01- Add End Verify New Task","This Test Adds a new task and verifies it in the list of task"
"passed","Mon Nov 21 00:23:58 IST 2022","Mon Nov 21 00:23:58 IST 2022","145","Default Suite","untitled","sanity.GrafanaAPI","sanity.GrafanaAPI","test3_UpdateTeamAndVerify","Test03_Update Team and Verify","this test Update a team in Grafana and verify it"
"broken","Tue Nov 29 18:05:53 IST 2022","Tue Nov 29 18:05:53 IST 2022","5","Default Suite","untitled","sanity.TodoListElectron","sanity.TodoListElectron","stopSession","stopSession",""
"broken","Tue Dec 13 23:07:08 IST 2022","Tue Dec 13 23:07:08 IST 2022","2","Default Suite","untitled","sanity.GrafanaWebDB","sanity.GrafanaWebDB","startSession","startSession",""
"broken","Fri Oct 28 15:17:58 IDT 2022","Fri Oct 28 15:18:02 IDT 2022","4254","Default Suite","untitled","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_SearchUsers","Test07- Search Users","This Test Searched Users in a table using DOT"
"passed","Mon Dec 26 14:31:39 IST 2022","Mon Dec 26 14:31:40 IST 2022","1138","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test02_verifyDefaultUsers","Test02- Verify Default Users","This Test Verify and Default Users"
"broken","Thu Oct 06 23:20:48 IDT 2022","Thu Oct 06 23:20:48 IDT 2022","2","Default Suite","untitled","sanity.GrafanaWeb","sanity.GrafanaWeb","test01","test01",""
